Depth,Width,N_bag,epochs,Strategy,Loss_type,Dropout_rate,score_0,score_1,score_2,score_3,score_4
1,16,1,400,standard,standard,0.0,1.0442638357137612,1.0527131177062141,1.050337109964747,1.0491270132989305,1.0489523374055474
1,16,1,400,standard,standard,0.1,1.0276264829755972,1.034714852989738,1.0331945565411336,1.0335285989501672,1.03099385880231
1,16,1,400,standard,standard,0.2,1.0226715335706138,1.0258637531292445,1.0198614097643546,1.0213805196862271,1.0214878858346508
1,16,1,400,standard,standard,0.3,1.011407015280692,1.0153506584511554,1.0131955377201602,1.011815819763593,1.0089087430376242
1,16,1,400,standard,standard,0.4,1.0052782391181596,1.0053708566651678,1.0077494663341489,1.004614018507745,1.0031069512542792
1,16,1,400,standard,standard,0.5,0.9966420817005323,1.0001978626307029,0.99707590351352,0.99675498921604,0.99512190751065
1,16,1,400,standard,standard,0.6,0.992535156021975,0.9913684863350438,0.99467628556302,0.9971381957199106,0.9917025521566357
1,16,1,400,standard,standard,0.7,0.9888875774139497,0.9903840822719576,0.9870734731841561,0.988636969843319,0.9855797769738446
