Depth,Width,N_bag,epochs,Strategy,Loss_type,Dropout_rate,score_0,score_1,score_2,score_3,score_4
1,8,1,1000,standard,standard,0.0,1.0163164613560203,1.0184559808018672,1.0137083306508465,1.0136519405314248,1.012342667647961
1,8,1,1000,standard,standard,0.1,1.0094144602258137,1.005843918409105,1.005342048938283,1.0099156042389654,1.0087998511374574
1,8,1,1000,standard,standard,0.2,0.9995030377498758,0.9989723677128619,1.0065090135597738,1.0004335088263527,0.998929437368947
1,8,1,1000,standard,standard,0.3,0.9967919122953578,0.9995569061717479,0.9946446235994484,0.9985125541141229,0.998645983043315
1,8,1,1000,standard,standard,0.4,0.9906614352784686,0.99286383036983,0.9924594933795742,0.987382536238208,0.9915988465346822
1,8,1,1000,standard,standard,0.5,0.9886289017063877,0.9878670619957743,0.9876091424098077,0.9864540594623143,0.9881873509413661
1,8,1,1000,standard,standard,0.6,0.9846260399433886,0.9851772040839527,0.9818005795974255,0.9910059042473278,0.9815507996838237
1,8,1,1000,standard,standard,0.7,0.9825275230181302,0.9843969984104506,0.9783458726776453,0.9826197535596426,0.9844887989868552
