Depth,Width,N_bag,epochs,Strategy,Loss_type,Dropout_rate,score_0,score_1,score_2,score_3,score_4
1,8,1,1000,standard,denoising,0.0,1.093858654340851,1.0961206022387544,1.0960917929702387,1.092729941051737,1.0956110429147432
1,8,1,1000,standard,denoising,0.1,0.9828100643558465,0.9841356274687014,0.987478732355124,0.9874100310461363,0.9873504953374279
1,8,1,1000,standard,denoising,0.2,0.9833219444674761,0.985279928220274,0.9887097411184088,0.98797525279442,0.9838885128790259
1,8,1,1000,standard,denoising,0.3,0.9862786668593325,0.9877639743981829,0.9874620517216058,0.9850349841262254,0.9872973862534588
1,8,1,1000,standard,denoising,0.4,0.9843438544920994,0.9845876738101406,0.9835848417598958,0.9820942636099443,0.9869848916359656
1,8,1,1000,standard,denoising,0.5,0.9826559892533766,0.9860163461520293,0.9833518332640407,0.9829138833129152,0.9804534881650211
1,8,1,1000,standard,denoising,0.6,0.9807236363888003,0.9810388308078231,0.9803490851175505,0.9798106932964379,0.9839726216750848
1,8,1,1000,standard,denoising,0.7,0.985827102618272,0.9818358097566615,0.9834900796349956,0.9861175923437656,0.9811729979852423
