Depth,Width,N_bag,epochs,Strategy,Dropout_rate,score_0,score_1,score_2,score_3,score_4
1,16,8,400,standard,0.1,0.9765996833026043,0.9797712023475962,0.9769185578148042,0.973932696502955,0.9748776153229619
1,16,8,400,standard,0.2,0.980592519222846,0.9808171095455981,0.9749656737533337,0.9803043110273836,0.9798265912934494
1,16,8,400,standard,0.3,0.9740423612597576,0.9764977724423902,0.9802959220517982,0.9763652417006438,0.9770951977820279
1,16,8,400,standard,0.4,0.9774702524966864,0.9782655986331051,0.9774344235168574,0.9775993591058069,0.9793389257258951
1,16,8,400,standard,0.5,0.9768039245652598,0.9777286969191237,0.976912569054974,0.9760154798731839,0.9793575880900267
1,16,8,400,standard,0.6,0.9792197199398487,0.9817741358981973,0.9779006427522049,0.9792078970694903,0.9813872211555557
1,16,8,400,standard,0.7,0.9816640175179752,0.9804870826690386,0.9781832271082952,0.979229375934184,0.9849558939692397
