Depth,Width,N_bag,epochs,Strategy,Loss_type,Dropout_rate,score_0,score_1,score_2,score_3,score_4
0,16,1,1000,standard,denoising,0.0,1.0967103458995038,1.0979976860761775,1.0954699932484075,1.09981047692915,1.0952841114231973
0,16,1,1000,standard,denoising,0.1,0.9889882162765589,0.9962789450435733,0.9936332076670499,0.9895063632331532,0.9906901846857316
0,16,1,1000,standard,denoising,0.2,0.9888480571151131,0.9872768113913785,0.9847708710019485,0.9861112424664575,0.9865539732667682
0,16,1,1000,standard,denoising,0.3,0.9856947151840778,0.9840909952219593,0.9803281662795348,0.9865268543549065,0.9817670228175847
0,16,1,1000,standard,denoising,0.4,0.980350170477572,0.9853520617650525,0.9863359111269802,0.9844301212902226,0.9837342180838715
0,16,1,1000,standard,denoising,0.5,0.9826794246157557,0.9833505612892389,0.9871946433440528,0.9832923035174713,0.9833697569054737
0,16,1,1000,standard,denoising,0.6,0.984782477172468,0.9859231233753137,0.982008790048541,0.9859528997269713,0.9840732016360767
0,16,1,1000,standard,denoising,0.7,0.9793318622401918,0.9831006999023236,0.9802917096885866,0.9830155388450964,0.9833499530992522
